"","X_UWI_DISPLAY","UWI","SURFACE_LATITUDE","SURFACE_LONGITUDE","X_TD_TVD","DRILL_TD","X_ONPROD_DATE","RIG_RELEASE_DATE","PROFILE_TYPE","PSUM_POOL_NAME","PSUM_OPERATOR_NAME"
"12","00/01-01-065-18W5/2","100010106518W502",54.602036,-116.574174,1758.95,3127,2012-12-01,2012-03-04,"Horizontal","TRIASSIC S","MURPHY OIL COMPANY LTD."
"13","00/01-01-066-24W5/0","100010106624W500",54.679001,-117.481146,2084.3,2151,NA,2010-11-13,"Vertical",NA,"ARC RESOURCES LTD."
"14","00/01-02-066-24W5/0","100010206624W500",54.679497,-117.532364,2138.78,3583,2010-10-01,2010-09-03,"Horizontal","MONTNEY Q","CANADIAN NATURAL RESOURCES LIMITED"
"15","00/01-03-064-23W5/0","100010306423W500",54.503774,-117.407886,2217,3953,2011-11-06,2011-09-12,"Horizontal","MONTNEY F","TANGLE CREEK ENERGY LTD."
"16","00/01-03-067-24W5/0","100010306724W500",54.766899,-117.585063,1889.92,3303,2012-02-01,2011-11-19,"Horizontal","COMMINGLED POOL 005","CANADIAN NATURAL RESOURCES LIMITED"
"17","00/01-04-059-19W5/0","100010405919W500",54.066184,-116.775999,2354.08,2383,NA,2010-12-08,"Vertical",NA,"XTO ENERGY CANADA ULC"
"18","00/01-04-059-21W5/0","100010405921W500",54.064544,-117.072355,2745.03,3134,NA,2009-07-25,"Horizontal",NA,"PARAMOUNT RESOURCES LTD."
"19","00/01-04-065-18W5/2","100010406518W502",54.604095,-116.644885,1763.2,3120,2012-12-13,2012-03-27,"Horizontal","TRIASSIC G","MURPHY OIL COMPANY LTD."
"20","00/01-05-059-19W5/0","100010505919W500",54.078311,-116.802367,2330.49,3470,2008-09-11,2008-09-03,"Horizontal","COMMINGLED MFP9529","XTO ENERGY CANADA"
"21","00/01-06-062-26W5/0","100010606226W500",54.313757,-117.854791,2900.05,5078,2015-01-04,2014-11-16,"Horizontal","MONTNEY UNDEFINED","CEQUENCE ENERGY LTD."
"22","00/01-06-065-17W5/0","100010606517W500",54.602114,-116.573985,1740.07,3729,2013-02-01,2013-01-13,"Horizontal","TRIASSIC S","MURPHY OIL COMPANY LTD."
"23","00/01-07-064-18W5/0","100010706418W500",54.530035,-116.704137,1843.39,3670,2012-10-08,2012-09-22,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"24","00/01-08-059-19W5/0","100010805919W500",54.108175,-116.805231,2417.53,5635,2017-06-06,2017-01-24,"Horizontal","MONTNEY UNDEFINED","PARAMOUNT RESOURCES LTD."
"25","00/01-08-064-18W5/0","100010806418W500",54.532092,-116.68013,1845.82,3640,2012-01-13,2011-11-04,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"26","00/01-08-067-24W5/0","100010806724W500",54.78911,-117.60367,1883.1,3217,2012-04-07,2011-11-12,"Horizontal","COMMINGLED POOL 005","ARC RESOURCES LTD."
"27","00/01-10-060-19W5/0","100011006019W500",54.175764,-116.77055,2227.16,3420,2008-06-21,2008-05-11,"Horizontal","COMMINGLED MFP9529","XTO ENERGY CANADA"
"28","00/01-10-060-20W5/3","100011006020W503",54.17084,-116.918861,2350.93,3349.2,2009-02-11,2009-01-29,"Horizontal","COMMINGLED MFP9529","XTO ENERGY CANADA"
"29","00/01-11-060-22W5/0","100011106022W500",54.166974,-117.222464,2646.74,5572,2012-03-24,2012-02-12,"Horizontal","TRIASSIC XX","XTO ENERGY CANADA"
"30","00/01-11-061-27W5/0","100011106127W500",54.268796,-117.943751,3105.62,5027,2012-02-05,2012-01-21,"Horizontal","MONTNEY F","CEQUENCE ENERGY LTD."
"31","00/01-11-064-18W5/0","100011106418W500",54.531085,-116.603413,1836.56,3582,2011-10-17,2011-09-24,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"32","00/01-12-064-18W5/0","100011206418W500",54.513391,-116.602235,1827.63,3507,2010-11-05,2010-10-27,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"33","00/01-14-059-20W5/0","100011405920W500",54.108425,-116.881033,2581.04,4045,2009-11-04,2009-10-26,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"34","00/01-14-066-25W5/0","100011406625W500",54.694058,-117.660934,2022.42,3433,2012-07-12,2012-03-07,"Horizontal","COMMINGLED POOL 004","ARC RESOURCES LTD."
"35","00/01-15-060-19W5/0","100011506019W500",54.195148,-116.759373,2321.45,3712,2014-12-06,2014-08-29,"Horizontal","COMMINGLED MFP9529","TANGLE CREEK ENERGY LTD."
"36","00/01-15-065-24W5/0","100011506524W500",54.613647,-117.565738,2186.95,4640,2016-08-21,2016-01-29,"Horizontal","MONTNEY M","PARAMOUNT RESOURCES LTD."
"37","00/01-16-059-20W5/0","100011605920W500",54.11014,-116.926162,2577.1,4021,2010-10-08,2010-07-28,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"38","00/01-16-061-23W5/2","100011606123W502",54.283087,-117.3789,2655.33,3992,NA,2012-03-22,"Horizontal","MONTNEY UNDEFINED","ATHABASCA OIL CORPORATION"
"39","00/01-16-067-24W5/0","100011606724W500",54.803506,-117.580054,1885.75,3041,2010-10-06,2010-08-19,"Horizontal","COMMINGLED POOL 005","ARC RESOURCES LTD."
"40","00/01-17-059-19W5/0","100011705919W500",54.107831,-116.805034,2415.29,3490,2008-12-30,2008-12-18,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"41","00/01-17-060-19W5/0","100011706019W500",54.195957,-116.806733,2282.32,3488,2008-03-10,2008-03-04,"Horizontal","COMMINGLED MFP9529","XTO ENERGY CANADA"
"42","00/01-19-059-19W5/0","100011905919W500",54.110863,-116.853814,2526.42,4279,2011-02-20,2011-01-31,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"43","00/01-19-061-18W5/0","100011906118W500",54.293166,-116.706649,2154.55,4124,2011-03-05,2011-02-09,"Horizontal","MONTNEY C","TAQA NORTH LTD."
"44","00/01-20-059-19W5/0","100012005919W500",54.112537,-116.825399,2433.54,4320,2014-04-12,2014-04-02,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"45","00/01-20-060-18W5/0","100012006018W500",54.196428,-116.67642,2241.35,3827,2010-11-18,2010-09-30,"Horizontal","COMMINGLED MFP9529","XTO ENERGY CANADA"
"46","00/01-20-060-23W5/0","100012006023W500",54.214366,-117.435035,2764.06,5493,2016-11-19,2016-08-28,"Horizontal","MONTNEY UNDEFINED","ATHABASCA OIL CORPORATION"
"47","00/01-23-063-23W5/0","100012306323W500",54.476612,-117.360197,2200.13,3892,2013-10-18,2013-09-24,"Horizontal","MONTNEY F","TANGLE CREEK ENERGY LTD."
"48","00/01-23-064-25W5/0","100012306425W500",54.564778,-117.695345,2282.64,5390,2012-07-21,2012-01-20,"Horizontal","MONTNEY A","PARAMOUNT RESOURCES LTD."
"49","00/01-23-066-22W5/0","100012306622W500",54.722496,-117.20408,1890,1890,NA,2014-10-26,"Vertical",NA,"HALO EXPLORATION LTD."
"50","00/01-25-064-18W5/0","100012506418W500",54.543763,-116.567667,1753.32,3692,2012-10-26,2012-09-15,"Horizontal","TRIASSIC G","MURPHY OIL COMPANY LTD."
"51","00/02-01-063-20W5/0","100020106320W500",54.429707,-116.890064,2009.81,3703,2012-12-01,2012-11-22,"Horizontal","TRIASSIC TT","MURPHY OIL COMPANY LTD."
"52","00/01-25-066-24W5/0","100012506624W500",54.73931,-117.507096,1946.41,3596,2013-11-21,2013-11-05,"Horizontal","COMMINGLED POOL 005","ENERPLUS CORPORATION"
"53","00/01-26-059-20W5/0","100012605920W500",54.121915,-116.875941,2489.39,2664,NA,2008-11-10,"Vertical",NA,"PARAMOUNT RESOURCES LTD."
"54","00/01-26-059-20W5/2","100012605920W502",54.121915,-116.875941,2499.39,2606,NA,2008-11-10,"Vertical",NA,"PARAMOUNT RESOURCES LTD."
"55","00/01-26-060-19W5/0","100012606019W500",54.211647,-116.746493,2294.94,3385,2010-06-24,2010-03-17,"Horizontal","COMMINGLED MFP9529","TANGLE CREEK ENERGY LTD."
"56","00/01-26-063-23W5/0","100012606323W500",54.474354,-117.38111,2198.17,3824,2011-12-01,2011-09-16,"Horizontal","MONTNEY F","TANGLE CREEK ENERGY LTD."
"57","00/01-27-060-26W5/0","100012706026W500",54.21185,-117.805489,3174.16,3175,NA,2012-02-20,"Vertical",NA,"CENOVUS ENERGY INC."
"58","00/01-27-061-26W5/0","100012706126W500",54.281752,-117.806906,2928.37,5177,NA,2015-02-03,"Horizontal",NA,"CEQUENCE ENERGY LTD."
"59","00/01-27-061-26W5/2","100012706126W502",54.281752,-117.806906,2925.42,5278,2015-02-17,2015-02-03,"Horizontal","MONTNEY UNDEFINED","CENOVUS ENERGY INC."
"60","00/01-27-064-18W5/0","100012706418W500",54.562164,-116.624923,1840.68,1887,NA,2012-11-16,"Vertical",NA,"MURPHY OIL COMPANY LTD."
"61","00/01-27-066-25W5/0","100012706625W500",54.739963,-117.701101,1970.67,3115,2012-04-19,2012-02-03,"Horizontal","COMMINGLED POOL 005","ARC RESOURCES LTD."
"62","00/01-28-060-23W5/0","100012806023W500",54.240479,-117.393297,2727.57,6014,2017-09-30,2017-02-22,"Horizontal","MONTNEY UNDEFINED","ATHABASCA OIL CORPORATION"
"63","00/01-28-061-26W5/0","100012806126W500",54.314202,-117.855001,2931.17,5366,2014-10-01,2014-08-09,"Horizontal","MONTNEY CC","CEQUENCE ENERGY LTD."
"64","00/01-28-063-20W5/2","100012806320W502",54.487712,-116.947862,2015.33,3499,2012-08-15,2012-06-28,"Horizontal","TRIASSIC N","MURPHY OIL COMPANY LTD."
"65","00/01-28-066-24W5/0","100012806624W500",54.750137,-117.561765,1913.81,3540,2014-05-29,2014-02-16,"Horizontal","COMMINGLED POOL 005","CANADIAN NATURAL RESOURCES LIMITED"
"66","00/01-29-063-20W5/3","100012906320W503",54.489517,-116.984699,1978.28,3943,NA,2012-11-17,"Horizontal",NA,"SHELL CANADA LIMITED"
"67","00/01-29-065-23W5/2","100012906523W502",54.649666,-117.454505,2010.71,3366,2012-08-21,2012-03-16,"Horizontal","MONTNEY Q","ARC RESOURCES LTD."
"68","00/01-29-066-24W5/0","100012906624W500",54.746869,-117.597801,1926.6,3457,2012-04-01,2011-12-04,"Horizontal","COMMINGLED POOL 005","CANADIAN NATURAL RESOURCES LIMITED"
"69","00/01-31-061-26W5/2","100013106126W502",54.302026,-117.859244,2964.66,4667,2011-04-06,2011-02-16,"Horizontal","MONTNEY C","CEQUENCE ENERGY LTD."
"70","00/01-32-064-18W5/0","100013206418W500",54.589607,-116.668349,1766.78,3232,2012-12-01,2012-04-03,"Horizontal","TRIASSIC R","MURPHY OIL COMPANY LTD."
"71","00/01-32-065-25W5/0","100013206525W500",54.671821,-117.706445,2236.52,4119,2013-09-01,2013-07-22,"Horizontal","MONTNEY V","ARC RESOURCES LTD."
"72","00/01-33-059-20W5/0","100013305920W500",54.150882,-116.93426,2428.47,3680,2012-04-18,2011-12-19,"Horizontal","COMMINGLED MFP9529","BONAVISTA ENERGY CORPORATION"
"73","00/01-33-066-24W5/0","100013306624W500",54.764069,-117.567455,1903.93,3655,2012-05-01,2012-02-20,"Horizontal","COMMINGLED POOL 005","CANADIAN NATURAL RESOURCES LIMITED"
"74","00/01-36-059-20W5/0","100013605920W500",54.141012,-116.877444,2432.33,4075,2011-03-19,2011-02-28,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"75","00/01-36-062-20W5/0","100013606220W500",54.415038,-116.859056,2025.93,3387,2012-08-15,2012-05-23,"Horizontal","TRIASSIC TT","MURPHY OIL COMPANY LTD."
"76","00/02-01-064-19W5/0","100020106419W500",54.517006,-116.730746,1835.45,3430,2016-10-20,2016-09-10,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"77","00/02-10-064-18W5/0","100021006418W500",54.53096,-116.627607,1844.73,3592,2013-03-28,2013-03-02,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"78","00/02-11-059-20W5/0","100021105920W500",54.10863,-116.886444,2592.72,5938,2014-03-21,2014-03-07,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"79","00/02-11-062-23W5/2","100021106223W502",54.356565,-117.337729,2467.44,3887,2012-11-14,2012-10-11,"Horizontal","MONTNEY B","ATHABASCA OIL CORPORATION"
"80","00/02-11-064-20W5/0","100021106420W500",54.531009,-116.915288,1924.86,3499,2013-01-01,2012-08-11,"Horizontal","TRIASSIC Q","MURPHY OIL COMPANY LTD."
"81","00/02-18-064-18W5/0","100021806418W500",54.531074,-116.715663,1800.48,2125,NA,2014-02-11,"Horizontal",NA,"PARAMOUNT RESOURCES LTD."
"82","00/02-22-061-27W5/0","100022206127W500",54.29462,-117.973689,3080.49,4470,2011-02-04,2011-01-02,"Horizontal","MONTNEY E","CEQUENCE ENERGY LTD."
"83","00/02-22-064-18W5/0","100022206418W500",54.562085,-116.62511,1776.78,3529,2013-01-01,2012-12-04,"Horizontal","TRIASSIC G","MURPHY OIL COMPANY LTD."
"84","00/02-27-063-18W5/0","100022706318W500",54.47347,-116.661288,1835.72,3688,2012-04-01,2011-12-26,"Horizontal","MONTNEY UNDEFINED","RIDGEBACK RESOURCES INC."
"85","00/02-31-059-26W5/0","100023105926W500",54.154007,-117.900765,3201.93,5032,2013-02-08,2012-03-14,"Horizontal","MONTNEY D","CENOVUS ENERGY INC."
"86","00/02-32-063-20W5/0","100023206320W500",54.489517,-116.984699,2024.62,2025,NA,2012-11-17,"Vertical",NA,"SHELL CANADA LIMITED"
"87","00/02-32-063-22W5/0","100023206322W500",54.486069,-117.328092,2131.39,4645,2015-01-14,2014-11-14,"Horizontal","MONTNEY F","TANGLE CREEK ENERGY LTD."
"88","00/02-33-059-20W5/0","100023305920W500",54.150749,-116.934467,2437.65,3574,2012-05-15,2011-10-13,"Horizontal","COMMINGLED MFP9529","BONAVISTA ENERGY CORPORATION"
"89","00/02-33-060-17W5/4","100023306017W504",54.230351,-116.496905,2092.41,3006,NA,2008-01-13,"Horizontal",NA,"XTO ENERGY CANADA ULC"
"90","00/02-36-061-18W5/0","100023606118W500",54.323993,-116.571883,2016.5,3267,2010-07-25,2010-04-17,"Horizontal","MONTNEY B","SINOPEC DAYLIGHT ENERGY LTD."
"91","00/02-36-065-25W5/0","100023606525W500",54.671659,-117.628427,2070.98,3443,2011-12-19,2011-10-10,"Horizontal","COMMINGLED POOL 004","ARC RESOURCES LTD."
"92","00/03-01-059-21W5/0","100030105921W500",54.069091,-117.019401,2661.48,2790,NA,2011-11-07,"Horizontal",NA,"PARAMOUNT RESOURCES LTD."
"93","00/03-01-064-19W5/0","100030106419W500",54.516031,-116.740897,1841.3,3429,2017-09-15,2017-08-18,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"94","00/03-03-062-17W5/0","100030306217W500",54.330046,-116.43889,1986.78,3524,NA,2010-04-25,"Horizontal",NA,"SINOPEC DAYLIGHT ENERGY LTD."
"95","00/03-08-060-19W5/0","100030806019W500",54.184744,-116.81858,2268.05,3848,2010-02-25,2010-02-05,"Horizontal","COMMINGLED MFP9529","XTO ENERGY CANADA"
"96","00/03-08-064-18W5/0","100030806418W500",54.534491,-116.689168,1858.54,3588,2012-01-22,2011-11-09,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"97","00/03-08-065-18W5/0","100030806518W500",54.589607,-116.668584,1750.45,3809,2013-02-01,2012-12-22,"Horizontal","TRIASSIC G","MURPHY OIL COMPANY LTD."
"98","00/03-08-067-24W5/0","100030806724W500",54.789445,-117.615884,1888.89,3204,2009-01-26,2008-11-25,"Horizontal","COMMINGLED POOL 005","ARC RESOURCES LTD."
"99","00/03-09-060-18W5/0","100030906018W500",54.170626,-116.639048,2161.44,2354,NA,2009-04-24,"Horizontal",NA,"XTO ENERGY CANADA ULC"
"100","00/03-09-060-18W5/2","100030906018W502",54.170626,-116.639048,2160.76,2452,2009-07-30,2009-04-24,"Horizontal","TRIASSIC MM","XTO ENERGY CANADA"
"101","00/03-10-064-18W5/0","100031006418W500",54.531096,-116.640054,1843.79,3584,2012-06-28,2012-04-06,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"102","00/03-11-059-20W5/0","100031105920W500",54.108789,-116.89426,2592.6,6001,2015-07-21,2015-02-08,"Horizontal","MONTNEY UNDEFINED","PARAMOUNT RESOURCES LTD."
"103","00/03-11-060-20W5/0","100031106020W500",54.169937,-116.866921,2325.49,3403,2009-02-12,2009-02-03,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"104","00/03-11-062-23W5/0","100031106223W500",54.356684,-117.337729,2467.06,3823,2012-03-07,2012-03-10,"Horizontal","MONTNEY B","ATHABASCA OIL CORPORATION"
"105","00/03-11-064-23W5/0","100031106423W500",54.519907,-117.403805,2144.11,4287,2013-02-07,2013-01-17,"Horizontal","MONTNEY F","TANGLE CREEK ENERGY LTD."
"106","00/03-12-063-20W5/0","100031206320W500",54.429726,-116.890292,2050.32,2050.4,NA,2012-11-04,"Vertical",NA,"MURPHY OIL COMPANY LTD."
"107","00/03-17-060-19W5/0","100031706019W500",54.19792,-116.814041,2282.76,3816,2009-09-21,2009-08-15,"Horizontal","COMMINGLED MFP9529","XTO ENERGY CANADA"
"108","00/03-17-065-24W5/0","100031706524W500",54.623037,-117.626258,2230.64,4296,2018-01-24,2017-07-30,"Horizontal","COMMINGLED POOL 004","ARC RESOURCES LTD."
"109","00/03-18-061-26W5/0","100031806126W500",54.28494,-117.915226,2941.09,5260,2013-01-21,2013-01-09,"Horizontal","MONTNEY K","CEQUENCE ENERGY LTD."
"110","00/03-18-064-17W5/0","100031806417W500",54.543924,-116.567295,1770.07,3363,2013-05-09,2013-01-15,"Horizontal","TRIASSIC G","MURPHY OIL COMPANY LTD."
"111","00/03-22-066-25W5/2","100032206625W502",54.70706,-117.6673,2045.8,4428,2015-01-09,2014-11-19,"Horizontal","COMMINGLED POOL 004","ARC RESOURCES LTD."
"112","00/03-25-064-18W5/0","100032506418W500",54.560882,-116.585083,1787.8,1788,NA,2013-02-21,"Vertical",NA,"MURPHY OIL COMPANY LTD."
"113","00/01-10-062-25W5/0","100011006225W500",54.327523,-117.632196,2725.83,4859,2017-05-20,2017-01-29,"Horizontal","NORDEGG B","ENCANA CORPORATION"
"114","00/02-06-060-19W5/0","100020606019W500",54.171078,-116.840905,2321,4243,2013-03-19,2013-03-08,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"115","00/03-23-063-23W5/0","100032306323W500",54.473983,-117.380677,2205.37,3943,2011-03-26,2010-12-27,"Horizontal","MONTNEY F","TANGLE CREEK ENERGY LTD."
"116","00/03-34-059-20W5/0","100033405920W500",54.148541,-116.915173,2467.41,3550,2010-01-15,2009-12-21,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"117","00/05-25-066-25W5/0","100052506625W500",54.740839,-117.647744,1954.93,2296,NA,2010-03-11,"Horizontal",NA,"ARC RESOURCES LTD."
"118","00/05-31-059-19W5/0","100053105919W500",54.147991,-116.822753,2376.43,4384,2017-07-20,2017-05-04,"Horizontal","MONTNEY UNDEFINED","PARAMOUNT RESOURCES LTD."
"119","00/01-09-064-18W5/0","100010906418W500",54.531098,-116.652813,1843.88,3599,2012-02-27,2012-02-11,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"120","00/01-10-067-24W5/0","100011006724W500",54.787915,-117.582031,1879.78,3255,2011-04-04,2011-03-02,"Horizontal","COMMINGLED POOL 005","ARC RESOURCES LTD."
"121","00/01-13-059-20W5/0","100011305920W500",54.098621,-116.875674,2573.47,3960,2010-11-01,2010-11-04,"Horizontal","COMMINGLED MFP9529","CANADIAN NATURAL RESOURCES LIMITED"
"122","00/01-19-064-18W5/0","100011906418W500",54.561467,-116.705357,1793.69,3629,2014-04-23,2014-04-14,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"123","00/01-21-059-19W5/0","100012105919W500",54.108044,-116.80517,2380.15,4076,2011-06-11,2011-04-17,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"124","00/01-21-061-26W5/0","100012106126W500",54.302483,-117.859378,2986.93,5668,2014-02-03,2013-11-14,"Horizontal","MONTNEY EE","CEQUENCE ENERGY LTD."
"125","00/01-21-064-18W5/0","100012106418W500",54.530513,-116.652813,1820.15,4003,2012-04-27,2011-11-06,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"126","00/01-21-064-23W5/0","100012106423W500",54.545991,-117.40605,2018.15,2045,NA,2011-10-27,"Vertical",NA,"MURPHY OIL COMPANY LTD."
"127","00/01-22-064-18W5/2","100012206418W502",54.562164,-116.624923,1776.53,3418,2013-01-01,2012-11-16,"Horizontal","TRIASSIC G","MURPHY OIL COMPANY LTD."
"128","00/01-22-066-24W5/2","100012206624W502",54.737624,-117.525781,1953.74,3573,2014-03-16,2014-03-03,"Horizontal","COMMINGLED POOL 005","ENERPLUS CORPORATION"
"129","00/01-24-060-19W5/2","100012406019W502",54.211889,-116.718709,2326.73,4120,2011-08-27,2011-08-22,"Horizontal","COMMINGLED MFP9529","XTO ENERGY CANADA"
"130","00/01-24-063-26W5/0","100012406326W500",54.471168,-117.807081,2468.97,4298,2012-10-12,2012-07-13,"Horizontal","MONTNEY H","HAMMERHEAD RESOURCES INC."
"131","00/01-24-066-22W5/2","100012406622W502",54.722496,-117.20408,1360,2959,2015-02-04,2014-10-26,"Horizontal","VIKING N","HALO EXPLORATION LTD."
"132","00/01-30-065-23W5/0","100013006523W500",54.649396,-117.454502,2170,2170,NA,2012-02-21,"Vertical",NA,"ARC RESOURCES LTD."
"133","00/01-35-059-19W5/0","100013505919W500",54.134274,-116.755574,2280.13,4273,2009-12-20,2009-12-03,"Horizontal","COMMINGLED MFP9529","XTO ENERGY CANADA"
"134","00/01-35-060-23W5/0","100013506023W500",54.228673,-117.384411,2656.94,6012,2017-10-19,2017-04-04,"Horizontal","MONTNEY UNDEFINED","ATHABASCA OIL CORPORATION"
"135","00/01-35-063-20W5/2","100013506320W502",54.503175,-116.900888,1930.56,3452,2013-04-04,2013-01-26,"Horizontal","TRIASSIC T","MURPHY OIL COMPANY LTD."
"136","00/01-35-063-23W5/0","100013506323W500",54.485149,-117.379748,2175.96,3990,2011-12-17,2011-11-12,"Horizontal","MONTNEY F","TANGLE CREEK ENERGY LTD."
"137","00/01-36-063-26W5/0","100013606326W500",54.498756,-117.803815,2432.61,4202,2012-09-26,2011-11-21,"Horizontal","MONTNEY G","HAMMERHEAD RESOURCES INC."
"138","00/01-36-066-24W5/0","100013606624W500",54.750806,-117.508448,1927.22,3567,2012-11-13,2012-10-25,"Horizontal","COMMINGLED POOL 005","ENERPLUS CORPORATION"
"139","00/02-03-061-18W5/0","100020306118W500",54.250935,-116.633547,2142.59,3650,2010-11-16,2010-10-21,"Horizontal","COMMINGLED MFP9529","TAQA NORTH LTD."
"140","00/02-05-060-22W5/2","100020506022W502",54.156782,-117.224539,2703.1,4890,2011-04-23,2011-03-03,"Horizontal","TRIASSIC XX","XTO ENERGY CANADA"
"141","00/02-06-067-24W5/0","100020606724W500",54.754488,-117.654443,2004.42,3333,2013-03-17,2013-01-24,"Horizontal","MONTNEY H","ARC RESOURCES LTD."
"142","00/02-07-060-22W5/0","100020706022W500",54.195527,-117.275193,2699.13,5614,2014-06-12,2014-04-05,"Horizontal","MONTNEY UNDEFINED","DELPHI ENERGY CORP."
"143","00/02-07-064-18W5/0","100020706418W500",54.530144,-116.704273,1839.11,3650,2012-11-16,2012-10-13,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"144","00/02-08-059-19W5/0","100020805919W500",54.108305,-116.805292,2423.86,5587,2017-06-02,2017-02-14,"Horizontal","MONTNEY UNDEFINED","PARAMOUNT RESOURCES LTD."
"145","00/02-08-064-18W5/0","100020806418W500",54.53215,-116.680338,1847.61,3545,2011-11-26,2011-10-15,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"146","00/02-13-063-26W5/0","100021306326W500",54.456689,-117.826501,2508.29,5339,2017-10-09,2017-01-14,"Horizontal","MONTNEY UNDEFINED","HAMMERHEAD RESOURCES INC."
"147","00/02-15-064-23W5/0","100021506423W500",54.532496,-117.349521,2170.29,4650,2014-12-04,2014-09-18,"Horizontal","MONTNEY F","TANGLE CREEK ENERGY LTD."
"148","00/02-21-061-26W5/0","100022106126W500",54.302477,-117.858994,2986.22,5642,2014-02-03,2013-12-20,"Horizontal","MONTNEY DD","CEQUENCE ENERGY LTD."
"149","00/02-21-064-18W5/0","100022106418W500",54.530379,-116.652813,1823.89,4004,2012-02-22,2012-01-20,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"150","00/02-23-064-18W5/0","100022306418W500",54.530507,-116.603275,1806.86,4010,2012-04-05,2012-02-12,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"151","00/02-25-065-25W5/0","100022506525W500",54.662928,-117.626469,2104.87,3778,2013-08-01,2012-12-20,"Horizontal","COMMINGLED POOL 004","ARC RESOURCES LTD."
